mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1,chevrolet chevelle malibu
15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1,buick skylark 320
18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1,plymouth satellite
16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1,amc rebel sst
17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1,ford torino
15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1,ford galaxie 500
14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1,chevrolet impala
14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1,plymouth fury iii
14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1,pontiac catalina
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1,amc ambassador dpl
15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1,dodge challenger se
14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1,plymouth 'cuda 340
15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1,chevrolet monte carlo
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1,buick estate wagon (sw)
24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3,toyota corona mark ii
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1,plymouth duster
18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1,amc hornet
21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1,ford maverick
27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3,datsun pl510
26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2,volkswagen 1131 deluxe sedan
25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2,peugeot 504
24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2,audi 100 ls
25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2,saab 99e
26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2,bmw 2002
21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1,amc gremlin
10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1,ford f250
10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1,chevy c20
11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1,dodge d200
9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1,hi 1200d
27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3,datsun pl510
28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1,chevrolet vega 2300
25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3,toyota corona
25.0,4.0,98.0,92.0,2046.0,19.0,71.0,1,ford pinto
19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1,amc gremlin
16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1,plymouth satellite custom
17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1,chevrolet chevelle malibu
